policy_id,region_code,current_rain,claim_probability,risk_tier,final_premium
POL045360,C8,0.0,0.1,Moderate,20000.0
POL016745,C2,0.0,0.02,Low Risk,12000.0
POL007194,C8,0.0,0.06,Moderate,16000.0
POL018146,C10,0.0,0.06,Moderate,16000.0
POL049011,C13,0.0,0.08,Moderate,18000.0
POL053680,C7,0.0,0.0,Low Risk,10000.0
POL053943,C2,0.0,0.01,Low Risk,11000.0
POL002857,C2,0.0,0.03,Low Risk,13000.0
POL028225,C5,5.8,0.02,Low Risk,12000.0
POL047631,C3,0.0,0.11,Moderate,21000.0
POL042460,C19,0.2,0.04,Low Risk,14000.0
POL007030,C8,0.0,0.02,Low Risk,12000.0
POL050280,C2,0.0,0.01,Low Risk,11000.0
POL002844,C2,0.0,0.41,High Risk,51000.0
POL016746,C3,0.0,0.0,Low Risk,10000.0
POL032069,C8,0.0,0.0,Low Risk,10000.0
POL058212,C9,0.0,0.0,Low Risk,10000.0
POL031558,C10,0.0,0.01,Low Risk,11000.0
POL025424,C2,0.0,0.08,Moderate,18000.0
POL002953,C15,0.0,0.01,Low Risk,11000.0
POL037269,C13,0.0,0.04936039937704,Low Risk,14936.039937704
POL023833,C5,5.8,0.11,Moderate,21000.0
POL025238,C2,0.0,0.01,Low Risk,11000.0
POL051424,C2,0.0,0.02,Low Risk,12000.0
POL038857,C6,0.1,0.0,Low Risk,10000.0
POL050788,C3,0.0,0.0481580974380374,Low Risk,14815.80974380374
POL005658,C3,0.0,0.03,Low Risk,13000.0
POL042408,C2,0.0,0.02,Low Risk,12000.0
POL028528,C3,0.0,0.5968047022118538,High Risk,69680.47022118537
POL021346,C10,0.0,0.0,Low Risk,10000.0
POL058206,C8,0.0,0.5497773040268008,High Risk,64977.73040268008
POL039202,C3,0.0,0.02,Low Risk,12000.0
POL013172,C2,0.0,0.02,Low Risk,12000.0
POL017306,C3,0.0,0.0,Low Risk,10000.0
POL048268,C2,0.0,0.01,Low Risk,11000.0
POL050891,C8,0.0,0.01,Low Risk,11000.0
POL025294,C13,0.0,0.0,Low Risk,10000.0
POL048265,C8,0.0,0.0,Low Risk,10000.0
POL051837,C2,0.0,0.0,Low Risk,10000.0
POL051314,C13,0.0,0.0,Low Risk,10000.0
POL051999,C13,0.0,0.0,Low Risk,10000.0
POL036646,C3,0.0,0.01,Low Risk,11000.0
POL019345,C5,5.8,0.0,Low Risk,10000.0
POL046629,C9,0.0,0.0,Low Risk,10000.0
POL028098,C2,0.0,0.01,Low Risk,11000.0
POL048488,C8,0.0,0.0,Low Risk,10000.0
POL042405,C19,0.2,0.02,Low Risk,12000.0
POL025380,C3,0.0,0.06,Moderate,16000.0
POL034272,C9,0.0,0.0,Low Risk,10000.0
POL016022,C2,0.0,0.0,Low Risk,10000.0
POL049690,C8,0.0,0.0,Low Risk,10000.0
POL018564,C5,5.8,0.0,Low Risk,10000.0
POL028214,C15,0.0,0.03,Low Risk,13000.0
POL017795,C3,0.0,0.0,Low Risk,10000.0
POL037445,C13,0.0,0.0,Low Risk,10000.0
POL030791,C8,0.0,0.09,Moderate,19000.0
POL031652,C11,0.0,0.08,Moderate,18000.0
POL048564,C8,0.0,0.01,Low Risk,11000.0
POL036744,C6,0.1,0.04,Low Risk,14000.0
POL051852,C19,0.2,0.05,Low Risk,15000.0
POL034655,C10,0.0,0.01,Low Risk,11000.0
POL013657,C13,0.0,0.02,Low Risk,12000.0
POL036292,C13,0.0,0.08,Moderate,18000.0
POL046230,C1,12.5,0.0,Low Risk,10000.0
POL030074,C5,5.8,0.04,Low Risk,14000.0
POL029053,C5,5.8,0.02,Low Risk,12000.0
POL025853,C2,0.0,0.01,Low Risk,11000.0
POL011617,C7,0.0,0.0,Low Risk,10000.0
POL000310,C9,0.0,0.02,Low Risk,12000.0
POL000881,C14,0.0,0.06,Moderate,16000.0
POL050628,C11,0.0,0.01,Low Risk,11000.0
POL041571,C2,0.0,0.0,Low Risk,10000.0
POL014139,C15,0.0,0.01,Low Risk,11000.0
POL015985,C2,0.0,0.0,Low Risk,10000.0
POL036953,C3,0.0,0.02,Low Risk,12000.0
POL031268,C8,0.0,0.06,Moderate,16000.0
POL044165,C2,0.0,0.7,High Risk,80000.0
POL015210,C2,0.0,0.07,Moderate,17000.0
POL017988,C3,0.0,0.02,Low Risk,12000.0
POL040132,C17,0.0,0.0,Low Risk,10000.0
POL029975,C8,0.0,0.0,Low Risk,10000.0
POL012008,C5,5.8,0.71,High Risk,81000.0
POL024190,C8,0.0,0.0,Low Risk,10000.0
POL041165,C13,0.0,0.0,Low Risk,10000.0
POL043686,C3,0.0,0.67,High Risk,77000.0
POL046050,C8,0.0,0.13,Moderate,23000.0
POL016716,C3,0.0,0.0,Low Risk,10000.0
POL048143,C3,0.0,0.2770867323787385,High Risk,37708.673237873845
POL040465,C5,5.8,0.0,Low Risk,10000.0
POL021590,C14,0.0,0.0,Low Risk,10000.0
POL016902,C3,0.0,0.15,Moderate,25000.0
POL015979,C2,0.0,0.0082988140498212,Low Risk,10829.88140498212
POL002198,C5,5.8,0.0,Low Risk,10000.0
POL015442,C14,0.0,0.0,Low Risk,10000.0
POL044215,C15,0.0,0.0,Low Risk,10000.0
POL025615,C2,0.0,0.02936039937704,Low Risk,12936.039937704
POL034389,C8,0.0,0.0,Low Risk,10000.0
POL002870,C8,0.0,0.04,Low Risk,14000.0
POL020050,C5,5.8,0.15,Moderate,25000.0
POL001057,C8,0.0,0.05,Low Risk,15000.0
POL015570,C7,0.0,0.0,Low Risk,10000.0
POL028688,C5,5.8,0.0,Low Risk,10000.0
POL039509,C2,0.0,0.02,Low Risk,12000.0
POL036840,C12,0.0,0.8,High Risk,90000.0
POL016671,C4,0.0,0.0,Low Risk,10000.0
POL009331,C14,0.0,0.04,Low Risk,14000.0
POL035335,C10,0.0,0.02,Low Risk,12000.0
POL014044,C3,0.0,0.1,Moderate,20000.0
POL032843,C2,0.0,0.0,Low Risk,10000.0
POL018913,C5,5.8,0.0,Low Risk,10000.0
POL046578,C8,0.0,0.01,Low Risk,11000.0
POL039542,C6,0.1,0.24,High Risk,34000.0
POL052627,C3,0.0,0.01,Low Risk,11000.0
POL009795,C3,0.0,0.04,Low Risk,14000.0
POL015671,C21,0.0,0.01,Low Risk,11000.0
POL047001,C5,5.8,0.0,Low Risk,10000.0
POL001445,C3,0.0,0.0,Low Risk,10000.0
POL051439,C8,0.0,0.0,Low Risk,10000.0
POL025076,C5,5.8,0.03,Low Risk,13000.0
POL051295,C8,0.0,0.05,Low Risk,15000.0
POL050148,C19,0.2,0.66,High Risk,76000.0
POL037417,C1,12.5,0.0,Low Risk,10000.0
POL039175,C9,0.0,0.0,Low Risk,10000.0
POL048125,C2,0.0,0.0,Low Risk,10000.0
POL016257,C6,0.1,0.04,Low Risk,14000.0
POL034495,C8,0.0,0.01,Low Risk,11000.0
POL015249,C17,0.0,0.01,Low Risk,11000.0
POL018025,C2,0.0,0.07,Moderate,17000.0
POL039424,C6,0.1,0.06,Moderate,16000.0
POL052477,C13,0.0,0.0,Low Risk,10000.0
POL006381,C3,0.0,0.03,Low Risk,13000.0
POL003401,C16,0.0,0.03,Low Risk,13000.0
POL045005,C8,0.0,0.02,Low Risk,12000.0
POL022638,C8,0.0,0.0,Low Risk,10000.0
POL022508,C8,0.0,0.03,Low Risk,13000.0
POL012001,C10,0.0,0.0,Low Risk,10000.0
POL018403,C13,0.0,0.0,Low Risk,10000.0
POL035000,C3,0.0,0.01,Low Risk,11000.0
POL008080,C8,0.0,0.01,Low Risk,11000.0
POL018955,C10,0.0,0.0,Low Risk,10000.0
POL037855,C11,0.0,0.01,Low Risk,11000.0
POL008638,C9,0.0,0.0,Low Risk,10000.0
POL006185,C8,0.0,0.02,Low Risk,12000.0
POL052055,C2,0.0,0.26,High Risk,36000.0
POL009783,C3,0.0,0.0,Low Risk,10000.0
POL001909,C3,0.0,0.6386396197104018,High Risk,73863.96197104017
POL053776,C14,0.0,0.07,Moderate,17000.0
POL016795,C8,0.0,0.0,Low Risk,10000.0
POL007939,C3,0.0,0.04,Low Risk,14000.0
POL051694,C13,0.0,0.0,Low Risk,10000.0
POL000852,C5,5.8,0.0,Low Risk,10000.0
